# Mass range = (M200b>1.5e12)&(M200b<2e12) 
#  X Y Z M200b M200c tidal_anisotropy
2.096817000000000064e+01 6.825960000000000250e+00 2.331478999999999857e+01 1.598700000000000000e+12 1.394800000000000000e+12 9.773198643827786247e-01
3.337474000000000274e+01 5.221230000000000260e+00 1.026938999999999957e+01 1.560100000000000000e+12 1.313700000000000000e+12 1.709847751005606209e-01
2.683623000000000047e+01 1.208336000000000077e+01 4.147391999999999967e+01 1.575900000000000000e+12 1.293400000000000000e+12 3.650158277446333699e-01
3.958008999999999844e+01 1.035543000000000013e+01 1.003678000000000026e+01 1.593700000000000000e+12 1.335900000000000000e+12 7.858450500211542344e-01
1.263671000000000078e+01 4.284732999999999947e+01 4.745503999999999678e+01 1.565200000000000000e+12 1.254100000000000000e+12 2.794359710159732280e-01
1.383586000000000027e+01 4.081846999999999781e+01 1.724439999999999973e+00 1.575300000000000000e+12 1.249700000000000000e+12 3.057884005861836729e-01
3.536092000000000013e+01 2.347709000000000046e+01 1.048593999999999937e+01 1.585400000000000000e+12 1.240200000000000000e+12 4.111904058250398508e-01
9.900200000000000111e-01 5.341400000000000148e+00 4.564811999999999870e+01 1.527800000000000000e+12 1.282000000000000000e+12 1.625604669362747723e+00
4.977098999999999762e+01 3.964594999999999914e+01 1.247307999999999950e+01 1.531600000000000000e+12 1.200300000000000000e+12 3.618028387086911768e-01
6.147490000000000343e+00 5.354779999999999873e+00 1.240568000000000026e+01 1.556900000000000000e+12 1.244000000000000000e+12 8.225879717847570660e-01
3.578213999999999828e+01 3.168158999999999992e+01 7.386510000000000353e+00 1.537300000000000000e+12 1.237000000000000000e+12 5.102766304448944634e-01
3.726559000000000310e+01 1.523498999999999981e+01 1.046278000000000041e+01 1.548100000000000000e+12 1.102800000000000000e+12 3.765716772527766820e-01
2.424828000000000117e+01 9.701240000000000308e+00 4.737919000000000125e+01 1.569000000000000000e+12 1.185700000000000000e+12 2.041863449136449293e-01
2.987500000000000000e+01 1.497972000000000037e+01 2.794387000000000043e+01 1.551900000000000000e+12 1.245900000000000000e+12 3.669532363795529606e-01
2.598949999999999960e+01 9.265999999999999792e-01 3.134222000000000108e+01 1.565200000000000000e+12 1.099600000000000000e+12 9.164215983810256594e-01
2.149468999999999852e+01 2.678527000000000058e+01 1.954654999999999987e+01 1.542400000000000000e+12 1.173700000000000000e+12 3.281031465639883127e-01
1.209155999999999942e+01 2.421443000000000012e+01 1.197526000000000046e+01 1.531600000000000000e+12 1.207300000000000000e+12 3.529856715720510740e-01
3.505968000000000018e+01 1.824530000000000030e+01 3.982527999999999935e+01 1.503100000000000000e+12 1.273800000000000000e+12 5.503846078970705546e-01
4.677065000000000339e+01 8.257469999999999644e+00 1.380835000000000079e+01 1.554400000000000000e+12 1.209200000000000000e+12 2.127600748684922438e-01
3.685121999999999787e+01 1.134970000000000034e+01 1.342975999999999992e+01 1.541700000000000000e+12 1.184500000000000000e+12 5.896528023187572742e-01
3.841201000000000221e+01 1.904360000000000142e+01 3.617866999999999678e+01 1.555000000000000000e+12 1.219300000000000000e+12 1.874048153954741558e-01
